"","location_long","location_lat"
"512",-110.2618433,44.8984208
"513",-110.2540402,44.9048311
"514",-110.2588476,44.9008232
"515",-110.2632137,44.9053865
"516",-110.2618356,44.9079483
"517",-110.2688532,44.9101675
"518",-110.2609296,44.901229
"519",-110.2620875,44.9071804
"520",-110.2615751,44.9016513
"521",-110.2614971,44.9021193
"522",-110.2523449,44.8934968
"523",-110.2529442,44.8938274
"524",-110.2548504,44.8974059
"525",-110.2594466,44.8994387
"526",-110.2632588,44.9054536
"527",-110.266637,44.9031982
"528",-110.2610096,44.907302
"529",-110.2545862,44.8986015
"530",-110.2515301,44.8934916
"531",-110.2516413,44.8935851
"532",-110.2516489,44.8935011
"533",-110.2545031,44.8945333
"534",-110.2545547,44.8945368
"535",-110.2526169,44.893698
"536",-110.2616599,44.9006371
"537",-110.2550429,44.904633
"538",-110.2500385,44.9045466
"539",-110.2611446,44.8954996
"540",-110.2543237,44.8944873
"541",-110.2544279,44.8945504
"542",-110.2542924,44.8945068
"543",-110.2606091,44.9025829
"544",-110.2544,44.8945723
"545",-110.259501,44.9054041
"546",-110.2621523,44.9038494
"547",-110.263274,44.9054031
"548",-110.2654072,44.9021388
"549",-110.2624595,44.9037352
"550",-110.2607163,44.9034173
"551",-110.25787,44.9048563
"552",-110.2613541,44.9069807
"553",-110.266824,44.9030939
"554",-110.2413544,44.9072777
"555",-110.264028,44.8990279
"556",-110.2618579,44.9038166
"557",-110.2599342,44.9073856
"558",-110.2631819,44.9091353
"559",-110.2480887,44.9038088
"560",-110.2560543,44.9068324
"561",-110.246986,44.9033039
"562",-110.264803,44.9041836
"563",-110.2582102,44.9073187
"564",-110.2540968,44.9030269
"565",-110.2583713,44.9068215
"566",-110.2585219,44.9049804
"567",-110.2621012,44.9038009
"568",-110.260953,44.9041005
"569",-110.2619884,44.9078278
"570",-110.26886,44.9056199
"571",-110.2572323,44.898774
"572",-110.2619983,44.9073322
"573",-110.2615968,44.9064912
"574",-110.2526748,44.8945372
"575",-110.252764,44.8953098
"576",-110.2623328,44.904174
"577",-110.2528795,44.8956422
"578",-110.2620439,44.9037811
"579",-110.2526401,44.8945566
"580",-110.2589168,44.9063194
"581",-110.2527147,44.8945061
"582",-110.2599069,44.9076692
"583",-110.2527395,44.8945461
"584",-110.255754,44.9042405
"585",-110.2650822,44.9045877
"586",-110.2583749,44.9082897
"587",-110.2580912,44.9074626
"588",-110.2615399,44.9073141
"589",-110.2526654,44.8945394
"590",-110.2606911,44.9056014
"591",-110.249327,44.9021291
"592",-110.2553908,44.8988427
"593",-110.2592167,44.9068123
"594",-110.2567026,44.9041819
"595",-110.2592751,44.9051935
"596",-110.2597664,44.9050132
"597",-110.2608039,44.9058112
"598",-110.2541834,44.8974137
"599",-110.2617784,44.9072602
"600",-110.2617872,44.9079256
"601",-110.2589452,44.905068
"602",-110.2526565,44.8945069
"603",-110.2601726,44.9006753
"604",-110.2718854,44.9097534
"605",-110.2663187,44.9024652
"606",-110.2474123,44.9047043
"607",-110.2527746,44.8945794
"608",-110.2494817,44.9040919
"609",-110.2525644,44.8947313
"610",-110.2461839,44.9024745
"611",-110.2526492,44.8947853
"612",-110.2496322,44.9040433
"613",-110.2598647,44.9040771
"614",-110.2511068,44.8901033
"615",-110.2611055,44.9079558
"616",-110.2608683,44.9055649
"617",-110.2618837,44.903698
"618",-110.2532176,44.8979394
"619",-110.2661245,44.9115323
"620",-110.261955,44.9036663
"621",-110.2601502,44.908212
"622",-110.2623383,44.9082769
"623",-110.2657739,44.9103877
"624",-110.2522096,44.9055181
"625",-110.2635285,44.9011708
"626",-110.2611271,44.9075877
"627",-110.2511038,44.9050056
"628",-110.2543548,44.8948416
"629",-110.2626957,44.9037758
"630",-110.2526676,44.8945503
"631",-110.2526516,44.8945287
"632",-110.2625238,44.9046669
"633",-110.2526594,44.8945316
"634",-110.2587932,44.9081128
"635",-110.2605261,44.9034145
"636",-110.2581671,44.8971617
"637",-110.2630164,44.9009504
"638",-110.2639926,44.9034923
"639",-110.2638893,44.9030869
"640",-110.2526538,44.8944783
"641",-110.2707418,44.9020252
"642",-110.269632,44.9033191
"643",-110.2588859,44.897669
"644",-110.2578393,44.9015763
"645",-110.2523641,44.8942437
"646",-110.2619692,44.9037568
"647",-110.2621204,44.9072757
"648",-110.264778,44.9020306
"649",-110.2525781,44.8945773
"650",-110.2620135,44.9038056
"651",-110.2673724,44.904281
"652",-110.2673904,44.9039866
"653",-110.2628017,44.9063599
"654",-110.2663157,44.9031855
"655",-110.260178,44.9037826
"656",-110.2672255,44.9040532
"657",-110.2667037,44.9046321
"658",-110.2763467,44.9079029
"659",-110.2763874,44.9078908
"660",-110.2627085,44.9039777
"661",-110.2624867,44.9063255
"662",-110.262252,44.9005049
"663",-110.2698058,44.9077961
"664",-110.2644642,44.9048852
"665",-110.2579332,44.9073757
"666",-110.2673298,44.9085811
"667",-110.2586471,44.9077887
"668",-110.2624851,44.9019537
"669",-110.276326,44.9078711
"670",-110.2625779,44.904367
"671",-110.2651801,44.9022783
"672",-110.24585,44.9020063
"673",-110.2618575,44.9037499
"674",-110.2575759,44.9025351
"675",-110.2646103,44.9095941
"676",-110.2461331,44.9024091
"677",-110.262965,44.9057591
"678",-110.2688011,44.9039485
"679",-110.2763495,44.9079003
"680",-110.2596889,44.9058717
"681",-110.2619869,44.9065388
"682",-110.2695902,44.9081515
"683",-110.2762725,44.9078578
"684",-110.2622004,44.9036416
"685",-110.2619992,44.9037784
"686",-110.2594085,44.9000298
"687",-110.2443997,44.8959973
"688",-110.2620405,44.903759
"689",-110.2750861,44.9077904
"690",-110.2599124,44.8997874
"691",-110.2651584,44.9084467
"692",-110.2625372,44.9063573
"693",-110.274736,44.9070068
"694",-110.2763541,44.9078844
"695",-110.2560676,44.9004612
"696",-110.2688803,44.9045293
"697",-110.2763968,44.9078596
"698",-110.276276,44.9078098
"699",-110.2763365,44.9078637
"700",-110.2632439,44.9096025
"701",-110.2762923,44.9077865
"702",-110.2764162,44.9079316
"703",-110.2762821,44.9078421
"704",-110.2763115,44.9078925
"705",-110.2645842,44.9042233
"706",-110.2764758,44.9078151
"707",-110.2616364,44.9033626
"708",-110.2763641,44.9078746
"709",-110.2687096,44.9047808
"710",-110.2763708,44.9078839
"711",-110.2616559,44.9035111
"712",-110.267915,44.9048948
"713",-110.2622166,44.9035753
"714",-110.272378,44.9074248
"715",-110.2763651,44.9078942
"716",-110.2596194,44.900933
"717",-110.2616202,44.9033945
"718",-110.260884,44.9067043
"719",-110.2764167,44.907877
"720",-110.2618554,44.906865
"721",-110.2623401,44.9046635
"722",-110.259548,44.8968205
"723",-110.2596452,44.9010724
"724",-110.2452961,44.9012285
"725",-110.2679505,44.9092141
"726",-110.2619981,44.903484
"727",-110.2490828,44.905083
"728",-110.2616311,44.9031052
"729",-110.2578783,44.910331
